0         	netw           	TxRx	     	latencies, ms: 
in0 >	10|0	10|0	10|0	
in1 >	10|0	10|0	10|0	
in2 >	10|0	10|0	10|0	
 	v	v	v	
out	0	1	2	
0         	netw           	  Rx	< < <	push_into_network	->0 TX_JOIN mID 0 pid 1 f t JOIN a 1 ps 0 r 0 d @0 s @2 i @2 sID @3 pS 0
0         	netw           	  Rx	< < <	push_into_network	->0 TX_JOIN mID 0 pid 1 f t JOIN a 1 ps 0 r 0 d @0 s @1 i @1 sID @2 pS 0
0         	netw           	  Rx	< < <	checkReceive	2->0 TX_JOIN mID 0 pid 1 f t JOIN a 1 ps 0 r 0 d @0 s @2 i @2 sID @3 pS 0
0.01      	netw           	Tx  	> > >	send	->0 RX_JOIN mID 0 pid 1 f t JOIN a 1 ps 0 r 0 d @0 s @2 i @2 sID @3 pS 0
0.01      	netw           	  Rx	< < <	checkReceive	1->0 TX_JOIN mID 0 pid 1 f t JOIN a 1 ps 0 r 0 d @0 s @1 i @1 sID @2 pS 0
0.01      	netw           	  Rx	< < <	push_into_network	->2 TX_ACK mID 0 pid 1 f t ACK a 0 ps 0 r 0 d @2 s @0 i @0 sID @0 pS 0
0.01      	netw           	  Rx	< < <	push_into_network	->2 TX_SUCCESSOR mID 0 pid 1 f t SUCCESSOR a 0 ps 0 r 0 d @2 s @0 i @0 sID @0 pS 0
0.01      	netw           	  Rx	< < <	checkReceive	0->2 TX_ACK mID 0 pid 1 f t ACK a 0 ps 0 r 0 d @2 s @0 i @0 sID @0 pS 0
0.02      	netw           	Tx  	> > >	send	->0 RX_JOIN mID 0 pid 1 f t JOIN a 1 ps 0 r 0 d @0 s @1 i @1 sID @2 pS 0
0.02      	netw           	Tx  	> > >	send	->2 RX_ACK mID 0 pid 1 f t ACK a 0 ps 0 r 0 d @2 s @0 i @0 sID @0 pS 0
0.02      	netw           	  Rx	< < <	checkReceive	0->2 TX_SUCCESSOR mID 0 pid 1 f t SUCCESSOR a 0 ps 0 r 0 d @2 s @0 i @0 sID @0 pS 0
0.02      	netw           	  Rx	< < <	push_into_network	->1 TX_ACK mID 0 pid 1 f t ACK a 0 ps 0 r 0 d @1 s @0 i @0 sID @0 pS 0
0.02      	netw           	  Rx	< < <	push_into_network	->1 TX_SUCCESSOR mID 0 pid 1 f t SUCCESSOR a 0 ps 0 r 0 d @1 s @0 i @0 sID @0 pS 0
0.02      	netw           	  Rx	< < <	checkReceive	0->1 TX_ACK mID 0 pid 1 f t ACK a 0 ps 0 r 0 d @1 s @0 i @0 sID @0 pS 0
0.03      	netw           	Tx  	> > >	send	->1 RX_ACK mID 0 pid 1 f t ACK a 0 ps 0 r 0 d @1 s @0 i @0 sID @0 pS 0
0.03      	netw           	Tx  	> > >	send	->2 RX_SUCCESSOR mID 0 pid 1 f t SUCCESSOR a 0 ps 0 r 0 d @2 s @0 i @0 sID @0 pS 0
