0.001               	transport_2.low_latency_chord 	TxRx	< < <	OFF	pushNewMessage HARD_RESET
0.001               	transport_2.low_latency_chord 	TxRx	:::::	LOAD	_# Without
0.001               	transport_2.low_latency_chord 	TxRx	:::::	INIT	_# Without
0.001               	transport_2.low_latency_chord 	TxRx	:::::	JOIN	_# Without
0.001               	transport_2.low_latency_chord 	TxRx	:::::	JOIN	issueMessagePushTimers TX_JOIN mID 0 retryC 0(1)
0.001               	transport_2.low_latency_chord 	TxRx	< < <	JOIN	pushNewMessage TX_JOIN mID 0 pid 1 f t JOIN a 1 ps 0 r 0 d C0.A8.0.1 115c 457 6905e743f079eb86cec3c8e5ae5b76c526e90239 s C0.A8.0.2 115c 457 82aef1134f9a2f7abf75b2d58e935956619d3ab8 i C0.A8.0.2 115c 457 82aef1134f9a2f7abf75b2d58e935956619d3ab8 sID C0.A8.0.2 115c 457 82aef1134f9a2f7abf75b2d58e935956619d3ab9 pS 0
0.001               	transport_2.low_latency_chord 	TxRx	< < <	JOIN	set TIMER_SUCCESSOR_JOIN mID 0 retryC 0 reqC 0
0.001               	transport_2.low_latency_chord 	TxRx	< < <	JOIN	set TIMER_ACK mID 0 retryC 0 reqC 0
0.001               	transport_2.low_latency_chord 	TxRx	:::::	JOIN	_# TX_JOIN mID 0 pid 1 f t JOIN a 1 ps 0 r 0 d C0.A8.0.1 115c 457 6905e743f079eb86cec3c8e5ae5b76c526e90239 s C0.A8.0.2 115c 457 82aef1134f9a2f7abf75b2d58e935956619d3ab8 i C0.A8.0.2 115c 457 82aef1134f9a2f7abf75b2d58e935956619d3ab8 sID C0.A8.0.2 115c 457 82aef1134f9a2f7abf75b2d58e935956619d3ab9 pS 0
0.001               	transport_2.low_latency_chord 	Tx  	> > >	JOIN	sendMessage	TX_JOIN mID 0 pid 1 f t JOIN a 1 ps 0 r 0 d C0.A8.0.1 115c 457 6905e743f079eb86cec3c8e5ae5b76c526e90239 s C0.A8.0.2 115c 457 82aef1134f9a2f7abf75b2d58e935956619d3ab8 i C0.A8.0.2 115c 457 82aef1134f9a2f7abf75b2d58e935956619d3ab8 sID C0.A8.0.2 115c 457 82aef1134f9a2f7abf75b2d58e935956619d3ab9 pS 0
0.013               	transport_2.low_latency_chord 	TxRx	< < <	JOIN	pushNewMessage RX_ACK mID 0 pid 1 f t ACK a 0 ps 0 r 0 d C0.A8.0.2 115c 457 82aef1134f9a2f7abf75b2d58e935956619d3ab8 s C0.A8.0.1 115c 457 6905e743f079eb86cec3c8e5ae5b76c526e90239 i -1.-1.-1.-1 0 0 0000000000000000000000000000000000000000 sID -1.-1.-1.-1 0 0 0000000000000000000000000000000000000000 pS 0
0.013               	transport_2.low_latency_chord 	TxRx	:::::	JOIN	_# RX_ACK mID 0 pid 1 f t ACK a 0 ps 0 r 0 d C0.A8.0.2 115c 457 82aef1134f9a2f7abf75b2d58e935956619d3ab8 s C0.A8.0.1 115c 457 6905e743f079eb86cec3c8e5ae5b76c526e90239 i -1.-1.-1.-1 0 0 0000000000000000000000000000000000000000 sID -1.-1.-1.-1 0 0 0000000000000000000000000000000000000000 pS 0
0.013               	transport_2.low_latency_chord 	TxRx	:::::	JOIN	remove TIMER_ACK mID 0
0.019               	transport_2.low_latency_chord 	TxRx	< < <	JOIN	pushNewMessage RX_SUCCESSOR mID 0 pid 1 f t SUCCESSOR a 0 ps 0 r 0 d C0.A8.0.2 115c 457 82aef1134f9a2f7abf75b2d58e935956619d3ab8 s C0.A8.0.1 115c 457 6905e743f079eb86cec3c8e5ae5b76c526e90239 i -1.-1.-1.-1 0 0 0000000000000000000000000000000000000000 sID C0.A8.0.1 115c 457 6905e743f079eb86cec3c8e5ae5b76c526e90239 pS 0
0.019               	transport_2.low_latency_chord 	TxRx	:::::	JOIN	_# RX_SUCCESSOR mID 0 pid 1 f t SUCCESSOR a 0 ps 0 r 0 d C0.A8.0.2 115c 457 82aef1134f9a2f7abf75b2d58e935956619d3ab8 s C0.A8.0.1 115c 457 6905e743f079eb86cec3c8e5ae5b76c526e90239 i -1.-1.-1.-1 0 0 0000000000000000000000000000000000000000 sID C0.A8.0.1 115c 457 6905e743f079eb86cec3c8e5ae5b76c526e90239 pS 0
0.019               	transport_2.low_latency_chord 	TxRx	:::::	JOIN	remove TIMER_ACK TIMER_SUCCESSOR_JOIN  mID 0
0.019               	transport_2.low_latency_chord 	TxRx	:::::	JOIN	setSuccessorRemoveTimers successor(finger 0) C0.A8.0.1 115c 457 6905e743f079eb86cec3c8e5ae5b76c526e90239 1 s index 0 cw yes upd
0.019               	transport_2.low_latency_chord 	TxRx	:::::	JOIN	issueMessagePushTimers TX_FIND_SUCCESSOR mID 432 retryC 0(1)
0.019               	transport_2.low_latency_chord 	TxRx	< < <	JOIN	pushNewMessage TX_FIND_SUCCESSOR mID 432 pid 1 f t FIND_SUCCESSOR a 1 ps 0 r 0 d C0.A8.0.1 115c 457 6905e743f079eb86cec3c8e5ae5b76c526e90239 s C0.A8.0.2 115c 457 82aef1134f9a2f7abf75b2d58e935956619d3ab8 i C0.A8.0.2 115c 457 82aef1134f9a2f7abf75b2d58e935956619d3ab8 sID -1.-1.-1.-1 0 0 82aef1134f9a2f7abf75b2d58e935956619d3aba pS 0
0.019               	transport_2.low_latency_chord 	TxRx	< < <	JOIN	set TIMER_SUCCESSOR mID 432 retryC 0 reqC 0
0.019               	transport_2.low_latency_chord 	TxRx	< < <	JOIN	set TIMER_ACK mID 432 retryC 0 reqC 0
0.019               	transport_2.low_latency_chord 	TxRx	:::::	JOIN	_# TX_FIND_SUCCESSOR mID 432 pid 1 f t FIND_SUCCESSOR a 1 ps 0 r 0 d C0.A8.0.1 115c 457 6905e743f079eb86cec3c8e5ae5b76c526e90239 s C0.A8.0.2 115c 457 82aef1134f9a2f7abf75b2d58e935956619d3ab8 i C0.A8.0.2 115c 457 82aef1134f9a2f7abf75b2d58e935956619d3ab8 sID -1.-1.-1.-1 0 0 82aef1134f9a2f7abf75b2d58e935956619d3aba pS 0
0.019               	transport_2.low_latency_chord 	Tx  	> > >	JOIN	sendMessage	TX_FIND_SUCCESSOR mID 432 pid 1 f t FIND_SUCCESSOR a 1 ps 0 r 0 d C0.A8.0.1 115c 457 6905e743f079eb86cec3c8e5ae5b76c526e90239 s C0.A8.0.2 115c 457 82aef1134f9a2f7abf75b2d58e935956619d3ab8 i C0.A8.0.2 115c 457 82aef1134f9a2f7abf75b2d58e935956619d3ab8 sID -1.-1.-1.-1 0 0 82aef1134f9a2f7abf75b2d58e935956619d3aba pS 0
